time;SmartMeter-House-8: W-power.real.c.ELECTRICITY;Load-House-8: W-power.real.c.ELECTRICITY;WashingMachine-House-8: W-power.real.c.ELECTRICITY;Dishwasher-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: W-power.real.c.ELECTRICITY;Battery-House-8: Wh-energy.soc;Heatpump-House-8: W-power.real.c.ELECTRICITY;Heatpump-House-8: Wh-energy.soc;DomesticHotWaterControllerBoiler-House-8: W-power.real.c.ELECTRICITY;DomesticHotWaterControllerBoiler-House-8: Wh-energy.soc
598200;518.0;444.0;0.0;0.0;60.0;5000;14.614510980123205;6553.466284874456;0.0;0.0
598260;518.0;444.0;0.0;0.0;60.0;-1;14.614510980123205;6479.440585606464;0.0;0.0
598320;518.0;444.0;0.0;0.0;60.0;5000;14.614510980123205;6405.414886338473;0.0;0.0
598380;518.0;444.0;0.0;0.0;60.0;-1;14.614510980123205;6331.389187070481;0.0;0.0
598440;518.0;444.0;0.0;0.0;60.0;5000;14.614510980123205;6257.3634878024895;0.0;0.0
598500;316.0;444.0;0.0;0.0;-142.0;-1;14.614510980123205;6183.337788534498;0.0;0.0
598560;316.0;444.0;0.0;0.0;-142.0;5000;14.614510980123205;6109.3120892665065;0.0;0.0
598620;316.0;444.0;0.0;0.0;-142.0;-1;14.614510980123205;6035.286389998515;0.0;0.0
598680;316.0;444.0;0.0;0.0;-142.0;5000;14.614510980123205;5961.2606907305235;0.0;0.0
598740;316.0;444.0;0.0;0.0;-142.0;-1;14.614510980123205;5887.234991462532;0.0;0.0
598800;316.0;444.0;0.0;0.0;-142.0;5000;14.614510980123205;5813.2092921945405;0.0;0.0
598860;316.0;444.0;0.0;0.0;-142.0;-1;14.614510980123205;5739.183592926549;0.0;0.0
598920;316.0;392.0;0.0;0.0;-90.0;5000;14.614510980123205;5665.157893658557;0.0;0.0
598980;316.0;392.0;0.0;0.0;-90.0;-1;14.614510980123205;5591.132194390566;0.0;0.0
599040;316.0;392.0;0.0;0.0;-90.0;5000;14.614510980123205;5517.106495122574;0.0;0.0
599100;316.0;392.0;0.0;0.0;-90.0;-1;14.614510980123205;5443.080795854583;0.0;0.0
599160;316.0;392.0;0.0;0.0;-90.0;5000;14.614510980123205;5369.055096586591;0.0;0.0
599220;316.0;392.0;0.0;0.0;-90.0;-1;14.614510980123205;5295.0293973186;0.0;0.0
599280;316.0;392.0;0.0;0.0;-90.0;5000;14.614510980123205;5221.003698050608;0.0;0.0
599340;316.0;392.0;0.0;0.0;-90.0;-1;14.614510980123205;5146.977998782617;0.0;0.0
599400;416.0;392.0;0.0;0.0;10.0;5000;14.61451098012366;5072.952299514625;0.0;0.0
599460;416.0;392.0;0.0;0.0;10.0;-1;14.61451098012366;4998.926600246634;0.0;0.0
599520;416.0;392.0;0.0;0.0;10.0;5000;14.61451098012366;4924.900900978642;0.0;0.0
599580;416.0;392.0;0.0;0.0;10.0;-1;14.61451098012366;4850.875201710651;0.0;0.0
599640;417.0;392.0;0.0;0.0;-1842.0;5000;14.61451098012366;4776.849502442659;1853.0;0.0
599700;416.0;392.0;0.0;0.0;10.0;-1;14.61451098012366;4702.823803174668;0.0;0.0
599760;416.0;392.0;0.0;0.0;10.0;5000;14.61451098012366;4628.798103906676;0.0;0.0
599820;416.0;392.0;0.0;0.0;10.0;-1;14.61451098012366;4554.772404638685;0.0;0.0
599880;416.0;392.0;0.0;0.0;10.0;5000;14.61451098012366;4480.746705370693;0.0;0.0
599940;416.0;392.0;0.0;0.0;10.0;-1;14.61451098012366;4406.721006102702;0.0;0.0
600000;417.0;443.0;0.0;0.0;-40.0;5000;14.61451098012366;4332.69530683471;0.0;0.0
600060;417.0;443.0;0.0;0.0;-40.0;-1;14.61451098012366;4258.669607566719;0.0;0.0
600120;417.0;443.0;0.0;0.0;-40.0;5000;14.61451098012366;4184.643908298727;0.0;0.0
600180;417.0;443.0;0.0;0.0;-40.0;-1;14.61451098012366;4110.618209030736;0.0;0.0
600240;417.0;443.0;0.0;0.0;-40.0;5000;14.61451098012366;4036.592509762744;0.0;0.0
600300;733.0;443.0;0.0;0.0;-92.0;-1;382.71678021214484;3962.566810494752;0.0;0.0
600360;733.0;443.0;0.0;0.0;-92.0;5000;382.71678021214484;3913.081262508895;0.0;0.0
600420;733.0;443.0;0.0;0.0;-92.0;-1;382.71678021214484;3863.595714523038;0.0;0.0
600480;733.0;443.0;0.0;0.0;-92.0;5000;382.71678021214484;3814.110166537181;0.0;0.0
600540;733.0;443.0;0.0;0.0;-92.0;-1;382.71678021214484;3764.624618551324;0.0;0.0
600600;733.0;443.0;0.0;0.0;-92.0;5000;382.71678021214484;3715.139070565467;0.0;0.0
600660;733.0;443.0;0.0;0.0;-92.0;-1;382.71678021214484;3665.65352257961;0.0;0.0
600720;733.0;443.0;0.0;0.0;-92.0;5000;382.71678021214484;3616.167974593753;0.0;0.0
600780;733.0;392.0;0.0;0.0;-41.0;-1;382.71678021214484;3566.682426607896;0.0;0.0
600840;733.0;392.0;0.0;0.0;-41.0;5000;382.71678021214484;3517.196878622039;0.0;0.0
600900;733.0;392.0;0.0;0.0;-41.0;-1;382.71678021214484;3467.711330636182;0.0;0.0
600960;733.0;392.0;0.0;0.0;-41.0;5000;382.71678021214484;3418.225782650325;0.0;0.0
601020;733.0;392.0;0.0;0.0;-41.0;-1;382.71678021214484;3368.740234664468;0.0;0.0
