time;SmartMeter-House-4: W-power.real.c.ELECTRICITY;Load-House-4: W-power.real.c.ELECTRICITY;WashingMachine-House-4: W-power.real.c.ELECTRICITY;ElectricVehicle-House-4: W-power.real.c.ELECTRICITY;ElectricVehicle-House-4: Wh-energy.soc
464160;1096.0;96.0;1000.0;0.0;0.0
464220;1096.0;96.0;1000.0;10000.0;0.0
464280;1096.0;96.0;1000.0;0.0;10000.0
464340;1096.0;96.0;1000.0;0.0;0.0
464400;1096.0;96.0;1000.0;10000.0;0.0
464460;1096.0;96.0;1000.0;0.0;10000.0
464520;1096.0;96.0;1000.0;0.0;0.0
464580;1096.0;96.0;1000.0;10000.0;0.0
464640;1096.0;96.0;1000.0;0.0;10000.0
464700;1096.0;96.0;1000.0;0.0;0.0
464760;1096.0;96.0;1000.0;10000.0;0.0
464820;1096.0;96.0;1000.0;0.0;10000.0
464880;1096.0;96.0;1000.0;0.0;0.0
464940;1096.0;96.0;1000.0;10000.0;0.0
465000;1096.0;96.0;1000.0;0.0;10000.0
465060;1096.0;96.0;1000.0;0.0;0.0
465120;1096.0;96.0;1000.0;10000.0;0.0
465180;1096.0;96.0;1000.0;0.0;10000.0
465240;1096.0;96.0;1000.0;0.0;0.0
465300;1096.0;96.0;1000.0;10000.0;0.0
465360;1096.0;96.0;1000.0;0.0;10000.0
465420;1096.0;96.0;1000.0;0.0;0.0
465480;1096.0;96.0;1000.0;10000.0;0.0
465540;1096.0;96.0;1000.0;0.0;10000.0
465600;1096.0;96.0;1000.0;0.0;0.0
465660;1096.0;96.0;1000.0;10000.0;0.0
465720;1096.0;96.0;1000.0;0.0;10000.0
465780;1096.0;96.0;1000.0;0.0;0.0
465840;1096.0;96.0;1000.0;10000.0;0.0
465900;1096.0;96.0;1000.0;0.0;10000.0
465960;1096.0;96.0;1000.0;0.0;0.0
466020;1096.0;96.0;1000.0;10000.0;0.0
466080;1096.0;96.0;1000.0;0.0;10000.0
466140;1202.0;202.0;1000.0;0.0;0.0
466200;1202.0;202.0;1000.0;10000.0;0.0
466260;1202.0;202.0;1000.0;0.0;10000.0
466320;1202.0;202.0;1000.0;0.0;0.0
466380;1202.0;202.0;1000.0;10000.0;0.0
466440;1202.0;202.0;1000.0;0.0;10000.0
